hopeman_sandstone_formation	deposited_in	continental_depositional_environment
ladys_walk_formation	deposited_in	marine_depositional_environment
paleogene_period	sub_class_of	cenozoic_era
rotersalzton_formation	type	lithostratigraphic_unit
conodonts	type	phosphatic_fossil
lark_formation	has_age	oligocene
amundsen_formation	deposited_in	marine_depositional_environment
heather_formation	deposited_in	marine_depositional_environment
hidra_formation	located_in	central_north_sea
statfjord_formation	located_in	northern_north_sea
diatoms	type	organic_walled_fossil
lower_permian	type	permian_period
britannia_sandstone_formation	type	lithostratigraphic_unit
limestone	type	sedimentary_rock
shallow_marine_depositional_environment	type	shallow_marine_depositional_environment
burton_formation	constituted_by	mudstone
transitional_depositional_environment	sub_class_of	depositional_environment
darwin_formation	has_age	lower_jurassic
backshore_depositional_environment	type	beach_depositional_environment
dornoch_formation	type	lithostratigraphic_unit
alluvial_depositional_environment	sub_class_of	continental_depositional_environment
grid_sandstone_member	has_age	eocene
brig_formation	located_in	southern_north_sea
turbot_anhydrite_formation	located_in	northern_north_sea
yoredale_formation	constituted_by	limestone
inge_volcanic_deposits_formation	constituted_by	basalt
hidra_formation	has_age	upper_cretaceous
ness_formation	located_in	northern_north_sea
tor_formation	constituted_by	limestone
grid_sandstone_member	constituted_by	mudstone
coastal_plain	type	transitional_depositional_environment
horda_formation	type	lithostratigraphic_unit
shoreface_depositional_environment	type	beach_depositional_environment
cormorant_formation	type	lithostratigraphic_unit
scolt_head_formation	type	lithostratigraphic_unit
hauptanhydrit_formation	constituted_by	anhydrite
amundsen_formation	located_in	northern_north_sea
continental_depositional_environment	sub_class_of	depositional_environment
speke_formation	constituted_by	sandstone
golspie_formation	is_member_of	dunrobin_bay_group
turbot_anhydrite_formation	has_age	upper_permian
balder_formation	is_member_of	moray_group
auk_formation	deposited_in	continental_depositional_environment
delta_plain_depositional_environment	type	deltaic_depositional_environment
flounder_formation	constituted_by	limestone
ladys_walk_formation	has_age	lower_jurassic
dowsing_formation	deposited_in	transitional_depositional_environment
aller_halite_formation	located_in	southern_north_sea
mains_formation	constituted_by	siltstone
hauptdolomit_formation	constituted_by	mudstone
basalanhydrit_formation	type	lithostratigraphic_unit
valhall_formation	constituted_by	limestone
brig_formation	constituted_by	sandstone
pegmatite	type	igneous_intrusive_rock
neogene	type	neogene_period
cementstone_formation	type	lithostratigraphic_unit
deep_marine_depositional_environment	sub_class_of	marine_depositional_environment
